Model,Feature_Set,Split,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Tuning_Method,Best_Params,Best_Param_Notes
Random Forest,W200_O50,80/20,0.8109215017064847,0.8173104018489856,0.7914411079288359,0.7992626557174742,0.9783286373054687,RandomizedSearchCV,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W200_O50,70/30,0.8138794084186576,0.8203765503298268,0.7969924361539417,0.8034833986139904,0.9793538175195798,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W300_O0,80/20,0.7676560900716479,0.7670032545336898,0.7514556839098028,0.7545434934199087,0.968989037229251,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W300_O0,70/30,0.7610921501706485,0.7646117615495172,0.7465705098449743,0.7519943923155225,0.9678147192118997,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W300_O50,80/20,0.854198866563627,0.8634304960656802,0.8505139384245273,0.8551744212911899,0.9873120801815176,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W300_O50,70/30,0.8351648351648352,0.8426016531385248,0.8276357325129627,0.8328647356409512,0.9842052028845427,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W400_O0,80/20,0.7901234567901234,0.7809382839738674,0.7806128142139689,0.7779339692986195,0.9748233394635907,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W400_O0,70/30,0.7851919561243145,0.781372045412877,0.7693910636941332,0.7718906842184214,0.9746463115340909,RandomizedSearchCV,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W400_O50,80/20,0.8512110726643599,0.8470751591137179,0.8414231360546526,0.8424084065191907,0.9853330238662522,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W400_O50,70/30,0.8427121771217713,0.8404319274703007,0.8299141804075577,0.8333259182535577,0.9857654183914856,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W500_O0,80/20,0.7749140893470791,0.7693603269916072,0.7710556126866684,0.7679694477322432,0.9738079432293326,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W500_O0,70/30,0.7812142038946163,0.7737212747884743,0.7595359018123855,0.7581038925647281,0.9748578151332503,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W500_O50,80/20,0.8711923411662315,0.8715701743305452,0.8529885780013473,0.8590925065167898,0.9871113203838384,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W500_O50,70/30,0.8584686774941995,0.8540323265791359,0.8435027842727325,0.8465743022027641,0.9875875451771402,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Gaussian NB,W100_O0,80/20,0.38565629228687415,0.3938118448670886,0.39545604206580687,0.37251742060079507,0.8666374292819682,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W100_O0,70/30,0.39138281073764947,0.3965594010047738,0.39863879772725214,0.3722288083480393,0.8683750976461522,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W100_O50,80/20,0.3919308357348703,0.41787043593304335,0.40242697683036255,0.3790281475940642,0.872349056269562,RandomizedSearchCV,{'var_smoothing': 1e-07},"No tuning done, default smoothing parameter used."
Gaussian NB,W100_O50,70/30,0.38332014916939766,0.4095807663269616,0.39378652021032556,0.3686694705674023,0.8699546240879683,RandomizedSearchCV,{'var_smoothing': 1e-07},"No tuning done, default smoothing parameter used."
Gaussian NB,W200_O0,80/20,0.4309993201903467,0.445438364398807,0.44253117618099813,0.4076051561188065,0.890772385712545,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W200_O0,70/30,0.43271409152695967,0.44058532579317816,0.4400012856240441,0.41175871500767675,0.8862661924958523,RandomizedSearchCV,{'var_smoothing': 1e-07},"No tuning done, default smoothing parameter used."
